dataset,smoothing_method,parameter,perplexity
train_80%_frequency_None,add_k,k=0.1,107.05893093646078
train_80%_frequency_None,add_k,k=0.5,254.77162102259763
train_80%_frequency_None,add_k,k=1.0,382.8401027039188
train_80%_frequency_None,add_k,k=2.0,569.0759907107756
train_80%_frequency_None,add_k,k=5.0,912.9444374291176
train_80%_frequency_None,linear_interpolation,lambda=0.1,347.0292199035802
train_80%_frequency_None,linear_interpolation,lambda=0.3,296.63239643900914
train_80%_frequency_None,linear_interpolation,lambda=0.5,280.97770883581535
train_80%_frequency_None,linear_interpolation,lambda=0.7,284.65398642296674
train_80%_frequency_None,linear_interpolation,lambda=0.9,318.0683182837371
internal_val_frequency_None,add_k,k=0.1,203.5667820630062
internal_val_frequency_None,add_k,k=0.5,343.42520749960136
internal_val_frequency_None,add_k,k=1.0,461.3844867972256
internal_val_frequency_None,add_k,k=2.0,631.3729449122776
internal_val_frequency_None,add_k,k=5.0,947.71645362069
internal_val_frequency_None,linear_interpolation,lambda=0.1,352.65659127481206
internal_val_frequency_None,linear_interpolation,lambda=0.3,310.7727808337758
internal_val_frequency_None,linear_interpolation,lambda=0.5,301.9026529166868
internal_val_frequency_None,linear_interpolation,lambda=0.7,313.6477396986384
internal_val_frequency_None,linear_interpolation,lambda=0.9,362.874828506909
train_full_frequency_None,add_k,k=0.1,111.06949385718184
train_full_frequency_None,add_k,k=0.5,261.68134201689315
train_full_frequency_None,add_k,k=1.0,393.08503737050137
train_full_frequency_None,add_k,k=2.0,586.2472765164024
train_full_frequency_None,add_k,k=5.0,949.9939122281518
train_full_frequency_None,linear_interpolation,lambda=0.1,353.1884759086101
train_full_frequency_None,linear_interpolation,lambda=0.3,302.1085682574835
train_full_frequency_None,linear_interpolation,lambda=0.5,286.278579515203
train_full_frequency_None,linear_interpolation,lambda=0.7,290.2295042988633
train_full_frequency_None,linear_interpolation,lambda=0.9,324.90536759595
validation_frequency_None,add_k,k=0.1,192.02393295483844
validation_frequency_None,add_k,k=0.5,329.8582693065175
validation_frequency_None,add_k,k=1.0,447.8208911639271
validation_frequency_None,add_k,k=2.0,621.2062312064483
validation_frequency_None,add_k,k=5.0,953.998979090044
validation_frequency_None,linear_interpolation,lambda=0.1,349.6772823862403
validation_frequency_None,linear_interpolation,lambda=0.3,305.8069341834156
validation_frequency_None,linear_interpolation,lambda=0.5,295.4568227957218
validation_frequency_None,linear_interpolation,lambda=0.7,305.61845965860147
validation_frequency_None,linear_interpolation,lambda=0.9,352.28599319960546
train_80%_frequency_None,add_k,k=0.1,107.05893093646078
train_80%_frequency_None,add_k,k=0.5,254.77162102259763
train_80%_frequency_None,add_k,k=1.0,382.8401027039188
train_80%_frequency_None,add_k,k=2.0,569.0759907107756
train_80%_frequency_None,add_k,k=5.0,912.9444374291176
train_80%_frequency_None,linear_interpolation,lambda=0.1,347.0292199035802
train_80%_frequency_None,linear_interpolation,lambda=0.3,296.63239643900914
train_80%_frequency_None,linear_interpolation,lambda=0.5,280.97770883581535
train_80%_frequency_None,linear_interpolation,lambda=0.7,284.65398642296674
train_80%_frequency_None,linear_interpolation,lambda=0.9,318.0683182837371
internal_val_frequency_None,add_k,k=0.1,203.5667820630062
internal_val_frequency_None,add_k,k=0.5,343.42520749960136
internal_val_frequency_None,add_k,k=1.0,461.3844867972256
internal_val_frequency_None,add_k,k=2.0,631.3729449122776
internal_val_frequency_None,add_k,k=5.0,947.71645362069
internal_val_frequency_None,linear_interpolation,lambda=0.1,352.65659127481206
internal_val_frequency_None,linear_interpolation,lambda=0.3,310.7727808337758
internal_val_frequency_None,linear_interpolation,lambda=0.5,301.9026529166868
internal_val_frequency_None,linear_interpolation,lambda=0.7,313.6477396986384
internal_val_frequency_None,linear_interpolation,lambda=0.9,362.874828506909
train_full_frequency_None,add_k,k=0.1,111.06949385718184
train_full_frequency_None,add_k,k=0.5,261.68134201689315
train_full_frequency_None,add_k,k=1.0,393.08503737050137
train_full_frequency_None,add_k,k=2.0,586.2472765164024
train_full_frequency_None,add_k,k=5.0,949.9939122281518
train_full_frequency_None,linear_interpolation,lambda=0.1,353.1884759086101
train_full_frequency_None,linear_interpolation,lambda=0.3,302.1085682574835
train_full_frequency_None,linear_interpolation,lambda=0.5,286.278579515203
train_full_frequency_None,linear_interpolation,lambda=0.7,290.2295042988633
train_full_frequency_None,linear_interpolation,lambda=0.9,324.90536759595
validation_frequency_None,add_k,k=0.1,192.02393295483844
validation_frequency_None,add_k,k=0.5,329.8582693065175
validation_frequency_None,add_k,k=1.0,447.8208911639271
validation_frequency_None,add_k,k=2.0,621.2062312064483
validation_frequency_None,add_k,k=5.0,953.998979090044
validation_frequency_None,linear_interpolation,lambda=0.1,349.6772823862403
validation_frequency_None,linear_interpolation,lambda=0.3,305.8069341834156
validation_frequency_None,linear_interpolation,lambda=0.5,295.4568227957218
validation_frequency_None,linear_interpolation,lambda=0.7,305.61845965860147
validation_frequency_None,linear_interpolation,lambda=0.9,352.28599319960546
train_80%_frequency_None,add_k,k=0.1,107.05893093646078
train_80%_frequency_None,add_k,k=0.5,254.77162102259763
train_80%_frequency_None,add_k,k=1.0,382.8401027039188
train_80%_frequency_None,add_k,k=2.0,569.0759907107756
train_80%_frequency_None,add_k,k=5.0,912.9444374291176
train_80%_frequency_None,linear_interpolation,lambda=0.1,347.0292199035802
train_80%_frequency_None,linear_interpolation,lambda=0.3,296.63239643900914
train_80%_frequency_None,linear_interpolation,lambda=0.5,280.97770883581535
train_80%_frequency_None,linear_interpolation,lambda=0.7,284.65398642296674
train_80%_frequency_None,linear_interpolation,lambda=0.9,318.0683182837371
internal_val_frequency_None,add_k,k=0.1,203.5667820630062
internal_val_frequency_None,add_k,k=0.5,343.42520749960136
internal_val_frequency_None,add_k,k=1.0,461.3844867972256
internal_val_frequency_None,add_k,k=2.0,631.3729449122776
internal_val_frequency_None,add_k,k=5.0,947.71645362069
internal_val_frequency_None,linear_interpolation,lambda=0.1,352.65659127481206
internal_val_frequency_None,linear_interpolation,lambda=0.3,310.7727808337758
internal_val_frequency_None,linear_interpolation,lambda=0.5,301.9026529166868
internal_val_frequency_None,linear_interpolation,lambda=0.7,313.6477396986384
internal_val_frequency_None,linear_interpolation,lambda=0.9,362.874828506909
train_full_frequency_None,add_k,k=0.1,111.06949385718184
train_full_frequency_None,add_k,k=0.5,261.68134201689315
train_full_frequency_None,add_k,k=1.0,393.08503737050137
train_full_frequency_None,add_k,k=2.0,586.2472765164024
train_full_frequency_None,add_k,k=5.0,949.9939122281518
train_full_frequency_None,linear_interpolation,lambda=0.1,353.1884759086101
train_full_frequency_None,linear_interpolation,lambda=0.3,302.1085682574835
train_full_frequency_None,linear_interpolation,lambda=0.5,286.278579515203
train_full_frequency_None,linear_interpolation,lambda=0.7,290.2295042988633
train_full_frequency_None,linear_interpolation,lambda=0.9,324.90536759595
validation_frequency_None,add_k,k=0.1,192.02393295483844
validation_frequency_None,add_k,k=0.5,329.8582693065175
validation_frequency_None,add_k,k=1.0,447.8208911639271
validation_frequency_None,add_k,k=2.0,621.2062312064483
validation_frequency_None,add_k,k=5.0,953.998979090044
validation_frequency_None,linear_interpolation,lambda=0.1,349.6772823862403
validation_frequency_None,linear_interpolation,lambda=0.3,305.8069341834156
validation_frequency_None,linear_interpolation,lambda=0.5,295.4568227957218
validation_frequency_None,linear_interpolation,lambda=0.7,305.61845965860147
validation_frequency_None,linear_interpolation,lambda=0.9,352.28599319960546
train_80%_vocab_size_1000,add_k,k=0.1,50.75763364956103
train_80%_vocab_size_1000,add_k,k=0.5,89.3311106995399
train_80%_vocab_size_1000,add_k,k=1.0,120.26593591532898
train_80%_vocab_size_1000,add_k,k=2.0,164.29139573693408
train_80%_vocab_size_1000,add_k,k=5.0,248.03287004520539
train_80%_vocab_size_1000,linear_interpolation,lambda=0.1,215.01562454064128
train_80%_vocab_size_1000,linear_interpolation,lambda=0.3,156.90717295532968
train_80%_vocab_size_1000,linear_interpolation,lambda=0.5,133.52667310684961
train_80%_vocab_size_1000,linear_interpolation,lambda=0.7,121.72096360066934
train_80%_vocab_size_1000,linear_interpolation,lambda=0.9,117.6950243530644
internal_val_vocab_size_1000,add_k,k=0.1,80.91915977610438
internal_val_vocab_size_1000,add_k,k=0.5,113.94510398737071
internal_val_vocab_size_1000,add_k,k=1.0,142.11257646184433
internal_val_vocab_size_1000,add_k,k=2.0,182.8306061832098
internal_val_vocab_size_1000,add_k,k=5.0,261.559160819476
internal_val_vocab_size_1000,linear_interpolation,lambda=0.1,221.07862362904675
internal_val_vocab_size_1000,linear_interpolation,lambda=0.3,166.54697880662727
internal_val_vocab_size_1000,linear_interpolation,lambda=0.5,145.17263377153685
internal_val_vocab_size_1000,linear_interpolation,lambda=0.7,135.42670256411128
internal_val_vocab_size_1000,linear_interpolation,lambda=0.9,134.88143836390498
train_full_vocab_size_1000,add_k,k=0.1,49.687785720635205
train_full_vocab_size_1000,add_k,k=0.5,84.12149645017517
train_full_vocab_size_1000,add_k,k=1.0,111.72314675873969
train_full_vocab_size_1000,add_k,k=2.0,151.16190540875414
train_full_vocab_size_1000,add_k,k=5.0,227.0498758889449
train_full_vocab_size_1000,linear_interpolation,lambda=0.1,209.23499095606687
train_full_vocab_size_1000,linear_interpolation,lambda=0.3,150.828116143346
train_full_vocab_size_1000,linear_interpolation,lambda=0.5,127.28407701851837
train_full_vocab_size_1000,linear_interpolation,lambda=0.7,115.12303340196739
train_full_vocab_size_1000,linear_interpolation,lambda=0.9,110.24142673361884
validation_vocab_size_1000,add_k,k=0.1,74.10841813409277
validation_vocab_size_1000,add_k,k=0.5,103.52221820801073
validation_vocab_size_1000,add_k,k=1.0,128.7191871678354
validation_vocab_size_1000,add_k,k=2.0,165.457819953225
validation_vocab_size_1000,add_k,k=5.0,237.68959036153333
validation_vocab_size_1000,linear_interpolation,lambda=0.1,213.61668815584122
validation_vocab_size_1000,linear_interpolation,lambda=0.3,158.02670113533043
validation_vocab_size_1000,linear_interpolation,lambda=0.5,136.10760489288708
validation_vocab_size_1000,linear_interpolation,lambda=0.7,125.64178770614697
validation_vocab_size_1000,linear_interpolation,lambda=0.9,123.59403042710386
train_80%_vocab_size_1000,add_k,k=0.1,50.75763364956103
train_80%_vocab_size_1000,add_k,k=0.5,89.3311106995399
train_80%_vocab_size_1000,add_k,k=1.0,120.26593591532898
train_80%_vocab_size_1000,add_k,k=2.0,164.29139573693408
train_80%_vocab_size_1000,add_k,k=5.0,248.03287004520539
train_80%_vocab_size_1000,linear_interpolation,lambda=0.1,215.01562454064128
train_80%_vocab_size_1000,linear_interpolation,lambda=0.3,156.90717295532968
train_80%_vocab_size_1000,linear_interpolation,lambda=0.5,133.52667310684961
train_80%_vocab_size_1000,linear_interpolation,lambda=0.7,121.72096360066934
train_80%_vocab_size_1000,linear_interpolation,lambda=0.9,117.6950243530644
internal_val_vocab_size_1000,add_k,k=0.1,80.91915977610438
internal_val_vocab_size_1000,add_k,k=0.5,113.94510398737071
internal_val_vocab_size_1000,add_k,k=1.0,142.11257646184433
internal_val_vocab_size_1000,add_k,k=2.0,182.8306061832098
internal_val_vocab_size_1000,add_k,k=5.0,261.559160819476
internal_val_vocab_size_1000,linear_interpolation,lambda=0.1,221.07862362904675
internal_val_vocab_size_1000,linear_interpolation,lambda=0.3,166.54697880662727
internal_val_vocab_size_1000,linear_interpolation,lambda=0.5,145.17263377153685
internal_val_vocab_size_1000,linear_interpolation,lambda=0.7,135.42670256411128
internal_val_vocab_size_1000,linear_interpolation,lambda=0.9,134.88143836390498
train_full_vocab_size_1000,add_k,k=0.1,49.687785720635205
train_full_vocab_size_1000,add_k,k=0.5,84.12149645017517
train_full_vocab_size_1000,add_k,k=1.0,111.72314675873969
train_full_vocab_size_1000,add_k,k=2.0,151.16190540875414
train_full_vocab_size_1000,add_k,k=5.0,227.0498758889449
train_full_vocab_size_1000,linear_interpolation,lambda=0.1,209.23499095606687
train_full_vocab_size_1000,linear_interpolation,lambda=0.3,150.828116143346
train_full_vocab_size_1000,linear_interpolation,lambda=0.5,127.28407701851837
train_full_vocab_size_1000,linear_interpolation,lambda=0.7,115.12303340196739
train_full_vocab_size_1000,linear_interpolation,lambda=0.9,110.24142673361884
validation_vocab_size_1000,add_k,k=0.1,74.10841813409277
validation_vocab_size_1000,add_k,k=0.5,103.52221820801073
validation_vocab_size_1000,add_k,k=1.0,128.7191871678354
validation_vocab_size_1000,add_k,k=2.0,165.457819953225
validation_vocab_size_1000,add_k,k=5.0,237.68959036153333
validation_vocab_size_1000,linear_interpolation,lambda=0.1,213.61668815584122
validation_vocab_size_1000,linear_interpolation,lambda=0.3,158.02670113533043
validation_vocab_size_1000,linear_interpolation,lambda=0.5,136.10760489288708
validation_vocab_size_1000,linear_interpolation,lambda=0.7,125.64178770614697
validation_vocab_size_1000,linear_interpolation,lambda=0.9,123.59403042710386
train_80%_vocab_size_2500,add_k,k=0.1,98.2916518855111
train_80%_vocab_size_2500,add_k,k=0.5,226.79073616207998
train_80%_vocab_size_2500,add_k,k=1.0,337.35113925140814
train_80%_vocab_size_2500,add_k,k=2.0,498.21231650686
train_80%_vocab_size_2500,add_k,k=5.0,797.4910323777297
train_80%_vocab_size_2500,linear_interpolation,lambda=0.1,331.9507979948677
train_80%_vocab_size_2500,linear_interpolation,lambda=0.3,278.9035080190565
train_80%_vocab_size_2500,linear_interpolation,lambda=0.5,261.00409633268475
train_80%_vocab_size_2500,linear_interpolation,lambda=0.7,261.1965303503472
train_80%_vocab_size_2500,linear_interpolation,lambda=0.9,286.789364792514
internal_val_vocab_size_2500,add_k,k=0.1,184.17253491089625
internal_val_vocab_size_2500,add_k,k=0.5,304.9615150277878
internal_val_vocab_size_2500,add_k,k=1.0,406.7851994767989
internal_val_vocab_size_2500,add_k,k=2.0,553.8439014714523
internal_val_vocab_size_2500,add_k,k=5.0,829.6072006764686
internal_val_vocab_size_2500,linear_interpolation,lambda=0.1,337.9337669505182
internal_val_vocab_size_2500,linear_interpolation,lambda=0.3,292.9352345690309
internal_val_vocab_size_2500,linear_interpolation,lambda=0.5,281.18697800664387
internal_val_vocab_size_2500,linear_interpolation,lambda=0.7,288.5721137028147
internal_val_vocab_size_2500,linear_interpolation,lambda=0.9,328.0437747849977
train_full_vocab_size_2500,add_k,k=0.1,94.12471247737874
train_full_vocab_size_2500,add_k,k=0.5,208.37762828288578
train_full_vocab_size_2500,add_k,k=1.0,306.3416400951582
train_full_vocab_size_2500,add_k,k=2.0,450.07333399894594
train_full_vocab_size_2500,add_k,k=5.0,723.6850626125606
train_full_vocab_size_2500,linear_interpolation,lambda=0.1,323.9679717404311
train_full_vocab_size_2500,linear_interpolation,lambda=0.3,267.79437190029364
train_full_vocab_size_2500,linear_interpolation,lambda=0.5,247.69740374950325
train_full_vocab_size_2500,linear_interpolation,lambda=0.7,245.06553049006044
train_full_vocab_size_2500,linear_interpolation,lambda=0.9,264.99081531071704
validation_vocab_size_2500,add_k,k=0.1,159.71529919983806
validation_vocab_size_2500,add_k,k=0.5,263.5281192239159
validation_vocab_size_2500,add_k,k=1.0,351.9186666228323
validation_vocab_size_2500,add_k,k=2.0,481.86340551897854
validation_vocab_size_2500,add_k,k=5.0,733.6426514855975
validation_vocab_size_2500,linear_interpolation,lambda=0.1,322.96153776464087
validation_vocab_size_2500,linear_interpolation,lambda=0.3,273.49393811514403
validation_vocab_size_2500,linear_interpolation,lambda=0.5,258.13463279287816
validation_vocab_size_2500,linear_interpolation,lambda=0.7,260.7702733195528
validation_vocab_size_2500,linear_interpolation,lambda=0.9,290.61802210475145
train_80%_vocab_size_5000,add_k,k=0.1,168.23877893622458
train_80%_vocab_size_5000,add_k,k=0.5,465.7243832930058
train_80%_vocab_size_5000,add_k,k=1.0,731.8676802666155
train_80%_vocab_size_5000,add_k,k=2.0,1116.3368372528414
train_80%_vocab_size_5000,add_k,k=5.0,1803.1723391837165
train_80%_vocab_size_5000,linear_interpolation,lambda=0.1,418.2568596478106
train_80%_vocab_size_5000,linear_interpolation,lambda=0.3,390.4920042603505
train_80%_vocab_size_5000,linear_interpolation,lambda=0.5,394.516914246607
train_80%_vocab_size_5000,linear_interpolation,lambda=0.7,427.12898009507046
train_80%_vocab_size_5000,linear_interpolation,lambda=0.9,526.1796929386189
internal_val_vocab_size_5000,add_k,k=0.1,334.94529785887664
internal_val_vocab_size_5000,add_k,k=0.5,636.7946534598293
internal_val_vocab_size_5000,add_k,k=1.0,889.893937223817
internal_val_vocab_size_5000,add_k,k=2.0,1247.5666525969782
internal_val_vocab_size_5000,add_k,k=5.0,1887.2478040687897
internal_val_vocab_size_5000,linear_interpolation,lambda=0.1,427.9341716668193
internal_val_vocab_size_5000,linear_interpolation,lambda=0.3,409.23029373606556
internal_val_vocab_size_5000,linear_interpolation,lambda=0.5,423.65509478177654
internal_val_vocab_size_5000,linear_interpolation,lambda=0.7,470.8013587348843
internal_val_vocab_size_5000,linear_interpolation,lambda=0.9,601.4767688698604
train_full_vocab_size_5000,add_k,k=0.1,156.28749923657224
